Bank Transaction ID,Transaction Date,Posted Date,Description,Amount (USD),Currency,Bank Account
BF-202606-0173,2026-06-01,2026-06-01,ACH PARKSIDE COMMERCIAL MGMT RENT JUN,-8200.0,USD,Operating Checking
BF-202606-0131,2026-06-02,2026-06-02,CHECK DEP SUMMIT LEARNING CENTER SERVICE 6200,3425.0,USD,Operating Checking
BF-202606-0144,2026-06-03,2026-06-04,ZELLE FROM OAK & STONE REALTY REPAIR 6213,3450.0,USD,Operating Checking
BF-202606-0158,2026-06-03,2026-06-04,FERGUSON.COM REF 601,-1450.0,USD,Operating Checking
BF-202606-0132,2026-06-04,2026-06-05,ZELLE FROM METRO SELF STORAGE REPAIR 6201,2000.0,USD,Operating Checking
BF-202606-0149,2026-06-04,2026-06-05,WIRE CEDAR GROVE MARKET EQUIPMENT INSTALL 6500,8100.0,USD,Operating Checking
BF-202606-0145,2026-06-05,2026-06-05,ACH CREDIT RIVERSIDE PEDIATRICS INV 6114,1700.0,USD,Operating Checking
BF-202606-0155,2026-06-05,2026-06-05,ACH CREDIT BLUEBIRD PROPERTY MANAGEMENT MAINT PLAN JUN,900.0,USD,Operating Checking
BF-202606-0133,2026-06-06,2026-06-06,ACH CREDIT PARKVIEW SENIOR LIVING INV 6102,3225.0,USD,Operating Checking
BF-202606-0159,2026-06-06,2026-06-07,WW GRAINGER 877-202-2594 REF 602,-2675.0,USD,Operating Checking
BF-202606-0174,2026-06-06,2026-06-07,SHELL OIL 574221,-285.0,USD,Operating Checking
BF-202606-0146,2026-06-07,2026-06-08,MOBILE DEPOSIT SUMMIT LEARNING CENTER JOB 6215,1450.0,USD,Operating Checking
BF-202606-0166,2026-06-07,2026-06-08,ACH NORTHLINE HVAC JUN-01,-2950.0,USD,Operating Checking
BF-202606-0134,2026-06-08,2026-06-09,MOBILE DEPOSIT CEDAR GROVE MARKET JOB 6203,1975.0,USD,Operating Checking
BF-202606-0150,2026-06-08,2026-06-08,ACH CREDIT HUDSON VETERINARY CLINIC INSTALL 6501,10800.0,USD,Operating Checking
BF-202606-0178,2026-06-08,2026-06-08,INTUIT *QUICKBOOKS ONLINE,-150.0,USD,Operating Checking
